,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
0,rikitea,-20.160798,-130.293036,79.36,69,100,20.31
1,richards bay,-29.646811,36.799633,77.18,86,96,16.31
2,lavrentiya,69.819322,-174.133762,-19.82,86,27,21.52
3,tuatapere,-63.081228,154.962699,35.35,94,100,29.24
4,aksarka,74.218371,68.36651,-4.11,92,100,10.76
5,arraial do cabo,-39.187438,-26.924987,63.45,85,100,16.17
6,avera,-32.193534,-155.725734,78.35,87,0,16.89
7,grindavik,62.487974,-23.549157,38.35,94,100,9.98
8,lebu,-31.115582,-94.863484,71.69,65,12,9.04
9,saskylakh,70.501046,112.425735,-47.79,77,50,1.57
10,te anau,-42.594127,160.083667,60.96,88,23,9.42
11,talnakh,75.155791,89.539667,-13.81,85,0,12.26
12,bredasdorp,-46.825143,20.147232,45.75,96,100,22.1
13,duz,31.556442,8.401766,61.03,33,0,11.65
14,punta arenas,-72.485293,-96.087477,22.28,98,51,11.99
15,khatanga,86.675587,104.256667,-16.06,89,49,9.6
16,mahebourg,-35.165428,72.9553,72.61,71,6,1.61
17,longyearbyen,84.095202,17.625864,-10.5,91,100,11.25
18,cape town,-72.373253,-5.414032,-7.91,74,3,8.9
19,atuona,-0.351537,-127.949519,78.01,86,17,15.79
20,katima mulilo,-17.437607,23.23741,66.74,94,87,3.91
21,geraldton,-34.812572,85.570532,68.04,74,95,14.97
22,saryg-sep,51.604172,95.424273,9.39,94,100,0.54
23,grand river south east,-24.773828,79.773821,75.22,74,100,21.12
24,busselton,-34.788607,92.370507,64.22,74,100,16.75
25,mar del plata,-48.167833,-46.692277,55.62,78,0,31.72
26,tiksi,88.180013,127.164219,-15.09,88,82,13.15
27,faanui,-14.234702,-156.147026,82.2,69,5,11.48
28,duobao,30.915006,112.633419,48.97,60,100,4.41
29,mayo,63.410747,-136.479273,-11.2,77,75,3.83
30,provideniya,61.129044,-175.996182,32.77,89,100,4.74
31,east london,-81.042212,57.761369,-36.94,77,59,6.24
32,miraflores,0.855556,-72.314146,73.08,97,100,0.67
33,mataura,-87.557163,-152.257006,-22.61,85,88,17.22
34,ambilobe,-10.655181,52.331926,82.42,80,31,13.69
35,los llanos de aridane,26.72136,-18.307299,62.33,66,5,26.02
36,kapaa,25.563463,-174.070339,64.85,66,100,13.76
37,soyo,-9.682706,4.458352,76.75,79,88,13.11
38,vaini,-29.750168,-179.60096,69.1,74,33,17.36
39,port hardy,44.449514,-132.934417,48.79,79,100,14.92
40,avarua,-32.980516,-157.963564,76.66,87,100,15.12
41,hurghada,27.550693,32.739536,49.12,87,0,10.36
42,port hedland,-23.769618,118.969422,73.8,61,99,20.22
43,hermanus,-76.056525,3.085097,-30.12,74,0,10.07
44,paamiut,59.666254,-52.66359,30.24,90,0,17.67
45,boskoop,52.057016,4.682466,43.0,95,100,1.99
46,jamestown,-27.52193,-15.285805,74.46,71,3,9.66
47,tuktoyaktuk,83.306913,-127.386771,-19.12,87,100,4.0
48,samarai,-12.799592,151.313121,83.44,66,3,1.3
49,ende,-10.154386,122.118515,83.93,76,57,16.8
50,biga,40.441706,27.250105,51.67,88,0,3.42
51,arman,59.413123,147.481367,-4.97,85,57,12.73
52,tsihombe,-55.492386,51.39634,35.96,84,80,25.7
53,leningradskiy,81.503633,176.859401,-6.52,83,17,15.88
54,umm kaddadah,17.552301,27.78361,54.66,45,0,9.57
55,amderma,82.344256,63.574237,-9.85,90,98,5.48
56,williston,48.413586,-103.391522,6.01,85,1,13.8
57,bluff,-69.910144,168.837212,25.97,95,93,4.92
58,khonuu,68.870349,143.326604,-19.89,86,43,8.95
59,kruisfontein,-78.000154,29.617152,-39.23,79,22,10.18
60,la libertad,12.410385,-89.516346,79.52,64,100,7.56
61,mwingi,-0.768739,38.122759,63.52,81,0,2.93
62,ushuaia,-55.85668,-64.48087,44.87,81,93,39.62
63,vardo,85.835063,35.49985,-3.66,93,100,11.7
64,sao lourenco do sul,-31.624338,-51.361727,71.4,74,18,25.79
65,saint-philippe,-29.89112,58.411539,76.1,77,39,12.3
66,acapulco,4.763098,-104.470391,79.83,81,100,15.46
67,puerto ayora,-0.8003,-107.755937,76.84,88,14,8.48
68,wamba,2.647329,28.329817,69.62,76,73,2.13
69,mamallapuram,11.557591,81.899237,76.59,78,17,15.79
70,tucumcari,34.677079,-103.831342,46.0,44,1,8.05
71,batagay-alyta,68.151459,130.442691,-22.0,88,100,7.47
72,oranjemund,-32.322196,10.783434,69.35,89,0,8.88
73,cabo san lucas,8.815038,-117.990365,79.41,83,0,16.13
74,kloulklubed,7.653968,131.671119,83.91,74,0,21.36
75,auki,-5.54135,162.563537,83.7,71,100,6.71
76,north bend,43.419691,-125.478939,48.94,80,0,13.47
77,togur,60.093922,82.627784,-5.44,92,99,5.59
78,tazovskiy,68.784742,80.896924,-32.71,84,13,7.2
79,kodiak,50.7792,-157.132266,39.83,94,100,8.59
80,khilok,51.041287,110.864636,9.41,95,100,10.87
81,kavieng,8.553265,158.336772,81.82,76,64,22.21
82,albany,-56.831595,120.177207,37.83,79,100,34.52
83,mount gambier,-42.619288,138.269715,59.04,88,100,27.98
84,broken hill,-30.628118,140.437878,71.87,27,58,10.74
85,belushya guba,81.608506,55.564773,-1.34,91,100,2.91
86,akyab,18.613429,93.232229,76.3,54,10,8.25
87,severo-kurilsk,39.761127,158.911336,38.32,77,100,32.68
88,butaritari,14.310533,170.777429,78.51,71,93,21.63
89,ramgarh,27.299209,75.135104,50.38,73,0,4.79
90,chuy,-55.708261,-29.738543,31.78,98,100,27.51
91,san cristobal,-1.915583,-88.921847,77.25,82,48,10.8
92,vakhrushev,48.834722,143.248889,-10.05,84,3,0.94
93,bethel,42.006069,-163.701763,47.08,85,100,23.73
94,thompson,60.946222,-96.046977,-21.39,87,100,12.17
95,buariki,1.668101,168.654989,80.46,82,99,12.24
96,barrow,81.798378,-154.588973,-9.94,88,100,16.6
97,illoqqortoormiut,73.190238,-28.840873,-1.43,91,100,6.89
98,lawton,34.337933,-98.409162,45.0,42,1,4.61
